id,director_id
19995,2710
285,1704
206647,39
49026,525
49529,7
559,7623
38757,76595
38757,121830
99861,12891
767,11343
209112,15217
1452,9032
10764,12995
58,1704
57201,1704
49521,15217
2454,5524
24428,12891
1865,17633
41154,5174
122917,108
1930,87742
20662,578
57158,108
2268,3288
254,108
597,2710
271110,19271
271110,19272
44833,36602
135397,930707
37724,39
558,7623
68721,1108
12155,510
36668,11091
62211,225976
8373,865
91314,865
68728,7623
102382,87742
20526,86270
49013,7879
49013,32532
44912,10702
10193,8
534,36425
168259,2127
72190,12995
127585,9032
54138,15344
81005,9032
64682,6201
9543,10723
68726,10828
38356,865
217,488
105864,21198
62177,59803
62177,126638
62177,137262
188927,58189
10681,7
5174,11091
14161,6046
17979,24
76757,9339
76757,9340
258489,11343
411,5524
246655,9032
155,525
14160,12890
15512,12080
15512,65630
1726,15277
44826,1032
8487,5174
1735,18878
297761,19769
2698,4499
137113,11694
9804,8300
14869,7775
150540,12890
278927,15277
10138,15277
58595,228134
102651,1032536
119450,32278
79698,8965
64686,239571
100402,19271
100402,19272
10192,64151
158852,7087
177572,70238
177572,227439
82690,165787
5255,24
47933,6046
10191,66193
10191,69797
296,7213
118340,15218
157336,525
27205,525
315011,77921
315011,80752
49051,108
9799,18878
4922,7467
49538,957
131634,10943
27022,12962
503,5231
241259,26205
810,12098
810,12099
68735,81850
87101,47005
10140,10781
676,865
1858,865
1966,1152
675,11343
674,10723
8960,36602
6479,10943
118,510
2062,7930
2062,7087
272,525
10527,18863
10527,18864
18360,17825
2080,13079
605,9339
605,9340
109445,15774
109445,1120694
604,9339
604,9340
76338,47005
76341,20629
13448,6159
10195,11181
13053,70238
13053,76595
19585,84851
57165,66739
62213,510
177677,9033
7978,4945
5559,44113
5559,44114
49444,142312
10196,11614
956,15344
117251,6046
50321,21879
11619,33183
11619,58897
266647,36588
82703,18898
652,5231
80321,12080
80321,18863
80321,18864
36669,7256
43074,116805
95,865
608,5174
2310,24
140300,142312
140300,1262481
56292,7087
81188,151007
7552,15002
616,9181
147441,578
13475,15344
557,7623
82702,69797
205584,21085
10048,18878
13183,15217
944,7187
1927,1614
72559,54507
7364,52609
2114,21692
2114,21693
1771,4945
36643,10781
8619,2690
50620,15557
65759,20629
1724,18865
267935,488
281957,223
77950,94075
44896,1704
270946,18863
270946,44114
2503,25598
9502,57741
9502,57742
102899,59026
101299,10943
228161,52870
74,488
8961,865
417859,12098
27576,13015
86834,6431
17578,488
673,11218
6972,6201
82700,11614
10567,65855
10567,65856
181533,17825
38055,18864
671,10965
49524,57270
22,1704
131631,10943
591,6159
172385,5714
36658,9032
51497,58189
58574,956
18823,18865
861,10491
1911,1090
49040,19242
415,5572
8871,6159
435,6046
955,11401
2133,5231
1979,20400
87827,1614
1250,16837
324668,25598
9471,36425
70981,578
10996,18898
68724,82194
2789,28239
97020,52576
7459,9339
7459,9340
42888,3388
37834,366
75612,86270
1895,1
1894,1
585,12890
76170,366
1893,1
49519,66193
49519,71267
2395,20674
2395,24886
12100,11401
290595,1454884
98566,66739
49047,11218
9619,21370
308531,1101410
166424,934803
1593,17825
254128,132876
714,1724
2024,6046
163,1884
787,11694
262500,57270
2567,1032
38745,65630
40805,201
53182,78914
41513,1215
13700,70287
13700,80671
262504,57270
39254,17825
77931,1215
1639,2209
80274,13079
1571,3950
120,108
10204,57370
8489,638
10588,5133
2048,21085
1495,578
10137,18898
10198,15810
10198,15811
286217,578
1635,865
24113,36804
9679,58498
98,578
180,488
672,10965
36557,10702
869,510
280,2710
11322,638
4982,578
36955,2710
18487,893
39451,3289
27581,55710
9268,26713
68718,138
10545,62047
10545,62048
11688,61411
76163,12786
2059,12962
2486,25453
16523,5953
116711,5713
37710,8193
9946,37710
1372,9181
106646,1032
414,5572
563,10491
83542,1071
83542,9339
83542,9340
41216,15217
314,4586
184315,11091
9016,15810
9016,15811
18162,11887
138103,143059
257088,21673
10214,64191
205775,6159
11692,33485
22972,25598
227973,71729
29193,1255
1734,7775
3131,1032
76758,607
9408,12905
9408,15774
9890,7908
855,578
77953,6737
18,59
37786,38023
10501,27005
10501,65629
57800,71729
57800,229962
150689,11181
7980,108
12,7
122,108
121,108
68737,130938
1995,12786
157353,559
331,4945
61791,77357
8204,54050
47964,12028
10733,54040
9806,7087
1408,16938
32657,10965
607,5174
863,7879
44048,893
5175,11091
2655,24
22794,107446
22794,155267
8355,5714
116745,7399
4327,36425
1422,1032
10674,66190
10674,66191
7446,7399
65754,7467
1572,1090
10528,956
271969,23430
10865,62047
10865,62048
258509,68573
2253,9032
10661,17494
257344,10965
644,488
10756,18898
686,24
9383,10491
179,2226
76285,109857
1996,2209
291805,54507
10003,13015
1535,893
2067,1150
46195,5714
2277,10965
10357,8843
4477,6349
8665,14392
9387,8328
921,6159
49852,58728
4464,23964
664,2209
8358,24
9836,20629
2502,25598
9772,5231
161,1884
52451,4014
76492,185438
4523,15775
59961,125738
10481,15775
59108,11091
1581,17698
9798,893
22897,17698
298,1884
7484,7881
7484,15812
7484,52691
157350,17329
853,2352
10159,36602
9593,1090
1904,17633
9615,58189
51052,66191
51052,208113
297,769
9884,12989
16858,66777
62764,56512
22538,11090
9341,15148
12107,13426
9637,1215
49049,43141
9339,57370
16281,14999
39691,132876
8247,11694
11253,10828
1949,7467
8452,1724
310,4499
27578,16483
954,1150
70160,23964
45243,57130
364,510
7518,52845
7518,52870
11544,66193
11544,69797
9986,17046
8656,51984
146216,15002
9291,13426
55301,64151
109418,17494
11665,13426
6964,17698
11324,1032
12193,71600
9928,5713
9928,5714
754,11401
10202,20739
4147,39
50546,17494
1701,12786
13027,40256
2289,2239
20504,11447
20504,11448
9574,56911
11618,2209
2300,23677
12096,17825
10200,55499
8834,7187
228150,19769
6068,8858
41515,9622
9023,12079
9023,56660
38317,57370
2157,2042
14462,16294
161795,117075
159824,185438
49948,5690
49948,12824
49948,56146
49948,56147
49948,65531
49948,74297
49948,74298
49948,74299
2135,21879
9822,33485
9705,58498
1656,10702
12159,9198
9678,32593
4442,280
75,510
330770,17627
9433,7256
19959,7213
11973,21370
11228,18878
77951,66191
77951,561061
5491,5058
10715,4600
10197,17633
9562,7187
9922,1269
9447,20629
274854,52609
8870,56154
9992,59
36970,20030
36970,138857
10077,37710
76649,4014
293644,1172908
453,6159
8587,15812
8587,18898
72545,132876
109451,12095
109451,1046494
9533,11091
2023,4945
71880,17494
584,6482
309809,57741
4858,7832
4858,11266
17711,588701
328111,124748
8698,10808
93456,124747
93456,124748
602,6046
330,488
953,18863
953,18864
9693,11218
36657,9032
8909,23430
9802,865
950,5714
1824,13426
2976,20739
11026,16938
332,4759
75656,18865
38365,17494
594,488
15189,109857
11678,10702
6538,5342
10555,12058
10555,65629
10555,65630
1125,15557
4551,37932
612,488
9567,20907
37821,36797
203801,956
2539,3388
9297,57193
3172,8246
6520,3415
1439,17167
37958,56512
2026,1011158
7450,12881
7450,40345
11375,4037
9425,4014
25769,94220
25769,94222
23685,57646
11866,12028
9741,11614
211672,8023
211672,124747
23629,15217
8688,1150
10153,8246
153518,52701
153518,1281387
8676,17167
20829,41039
4349,36602
9718,55710
10808,52112
197,2461
25,39
35,197
11086,4027
10477,16938
1997,2352
6947,11614
3050,31024
2675,11614
809,5524
809,12079
809,12080
920,7879
920,7911
4806,1201
7451,18878
228165,217174
3595,6159
16869,138
879,488
1573,16938
9257,47640
1903,11649
9697,11614
395,4014
23398,31024
10590,2460
117263,20907
200,2388
44943,66739
587,510
10395,5342
57212,488
152760,1461
2756,2710
33909,1152
49017,1167470
9882,9181
2270,957
978,2352
44564,6159
3132,5572
8814,10765
8427,31024
52520,80923
52520,80924
80585,20739
10592,17812
49021,141688
11535,1090
10550,65615
11258,30149
12610,7395
12610,7396
59981,15780
201088,638
5137,41378
3093,30365
107846,29605
188207,16938
4614,23968
24021,27571
11371,7908
20352,124747
20352,124748
11517,52629
214756,52139
26428,19840
9824,59646
48988,7395
48988,7396
9008,638
300673,50767
12113,578
38778,6737
72331,23430
1844,15148
846,12523
9703,58656
857,488
136797,293911
3981,17698
425,5713
6171,8844
72976,488
603,9339
603,9340
568,6159
9021,15045
82695,70500
9489,9248
12133,55710
9342,10702
41733,57130
227306,11701
5551,190
9350,16938
9208,11401
4244,12962
1852,1152
11820,10723
76493,6767
345,240
196867,82511
256591,56411
256591,56412
59962,36425
36648,3893
1880,8328
9440,5342
71679,4014
10483,4014
11412,16938
11983,18596
6795,15277
550,7467
11170,36425
9292,7145
10783,9248
100241,1707
257,3556
9947,12523
189,2294
189,2293
12618,2226
253412,67813
1427,1071
818,6737
16577,33183
329,488
12160,8844
9331,13015
300168,57832
9072,35689
3536,7213
9087,3026
12177,71527
12138,71418
273248,138
9955,60922
9955,60923
50359,49903
1271,15217
693,6737
14306,5065
497,4027
11199,68573
9982,61411
210577,7467
2501,11694
710,10702
2275,12786
37165,2690
9837,21879
9837,44113
9837,59803
10708,52112
136400,67813
10992,64191
9654,37932
2642,18323
8916,18863
8916,52870
19899,12708
2119,893
9641,20739
294254,1179066
38167,52779
5994,11091
39514,57270
9563,1152
547,4135
1538,638
9334,26713
11128,46297
75780,9033
8914,16938
13576,65310
39538,1884
10628,48980
14836,57646
8645,11614
9509,893
10067,53177
9384,57130
9279,13581
1487,10828
9422,2260
77174,58897
77174,154705
4824,30365
9620,11401
9302,18250
10199,64152
10199,58897
10771,66654
3512,32277
137094,11181
274479,17883
267860,132239
8078,2419
7485,20907
170687,52691
170687,1152981
6435,2171
137106,107446
137106,155267
10040,58072
6278,12523
82682,91268
17610,1524
22954,190
16995,17350
16558,19242
9849,18281
5820,47640
16866,117052
16866,968303
16866,1158156
201,2523
11775,1223
87825,4746
12201,10702
11015,37710
9932,1524
13389,18250
8838,23213
17332,36588
4958,4135
786,11649
9513,49903
11679,7256
38321,116357
14411,52870
14411,1205756
8413,4014
10052,4499
9676,1150
9664,57138
2100,21526
10384,1723
10384,62020
137321,5575
123553,21981
11260,53177
9009,8574
11374,6159
2309,1978
8285,2293
210860,508
2312,23799
9839,10702
381902,93991
13922,21053
293660,55252
9713,18356
190859,190
257445,65630
9007,54050
889,13581
1370,16589
4942,1461
347969,57370
24438,18323
116741,17825
35791,4014
72431,1216147
1813,18596
87428,74619
8840,18878
10589,11091
71676,20192
71676,20193
1722,18844
10022,20739
11358,34453
13,24
6477,49903
1597,6737
10530,65530
10530,65531
1924,7187
9327,4499
8488,17167
10603,54967
8273,54584
109424,25598
35056,17825
8839,11887
156022,20907
7303,39819
8963,893
1402,20646
9315,57270
8984,8246
795,11887
24,138
11353,7908
393,138
9618,58728
9618,58729
9374,24
8584,46076
2320,2523
58224,54050
1729,18898
175574,8029
8077,7467
8818,9168
8195,13776
10586,2042
116149,101666
80035,62854
10632,15175
12117,12962
1792,7395
1792,7396
13260,65702
72197,53304
72197,565297
3580,190
12123,12989
9566,893
9833,5572
4517,37630
8202,54025
16072,66088
34314,101767
19724,52845
145220,26205
14623,2388
42297,42745
2841,2419
802,240
10375,33254
36586,10828
11321,20646
70074,1723
242,1776
9621,11649
1819,19271
1819,19272
8536,10586
8046,769
1717,2260
479,6482
9444,12881
9444,40345
824,6201
11456,23213
261023,65167
3683,190
22803,37932
285923,2294
285923,138
285923,11090
285923,16847
285923,16848
285923,141673
39437,16294
1950,323
640,488
97630,14392
9767,59026
11631,71068
32856,1201
6519,52049
8741,30715
49520,42994
1850,3974
524,1032
26389,35453
11817,70573
2123,7395
2123,7396
9907,4489
9969,61175
18239,3288
808,5524
808,12058
38050,1921
8367,8300
9390,11649
72105,52139
2898,3388
10312,4499
109443,55710
2022,32593
37686,15344
462,1884
9919,18281
187017,107446
187017,155267
628,17016
10201,59026
302699,57633
9441,10965
274167,74619
224141,17633
388,5281
2112,4723
10329,664
74465,11649
13811,21085
6877,46076
10320,26875
50646,56411
50646,56412
8920,18357
13673,18311
60308,5345
6950,5231
225574,59521
13836,58375
752,11266
6038,42994
9975,61290
11451,7312
12103,5501
60304,76927
2251,7270
46529,40256
231,2945
300671,865
228326,1265056
9754,33315
66,190
4421,578
2649,7467
588,8296
10393,26502
71552,68843
71552,68844
9631,37932
216282,93214
306,4610
928,4600
205587,42994
6623,51984
1577,17649
9801,20237
2116,21712
9624,23880
14199,2294
1907,2034
4599,1201
22832,11266
10390,7623
9879,41550
38579,46076
44603,190
11892,23393
9691,7187
1248,16785
12220,3026
72710,8685
10782,1090
9573,190
4959,1071
10061,11770
10386,7087
421,5655
316152,23964
11615,9168
13498,18356
241554,59521
2252,224
11968,57082
10047,59
38319,64141
69668,53334
9770,27436
11212,56059
10533,8965
38363,11694
9923,893
11863,15175
18501,20192
18501,20193
109491,2163
9275,518
329833,7399
12634,58294
10416,5342
47327,27226
15268,10765
10796,57134
9548,16938
18947,7018
1900,1884
89,488
96724,36588
198184,82194
9481,13015
4547,7467
53953,41270
6415,17883
181283,125738
9896,3415
167,1978
11232,366
1636,1524
2148,1776
5176,366
260346,75035
1389,1884
9894,7399
7504,4760
8592,6449
913,1090
11091,14911
1368,16544
593,8452
5393,31093
5393,133293
5393,142587
9095,3224
8874,3045
11467,18311
320,525
199,2388
20533,8029
10684,9181
1624,4499
325789,144221
113464,9855
888,13581
82675,75035
4256,12987
1493,18281
88751,9622
11130,1201
9944,6349
10731,5572
7350,3026
9869,13015
4379,36797
146233,137427
2034,20907
926,15002
4248,35689
64328,26205
36647,10808
7214,52038
1537,7017
9360,26648
6282,48980
508,7018
9487,7
9487,7879
768,11447
768,11448
2636,26648
10478,4037
27983,16745
9981,54584
7453,52842
15045,54644
7737,52968
232672,57370
17379,39819
8987,323
11359,7908
82525,1152
9759,4755
9486,7791
9906,60237
841,5602
4688,16391
4148,39
2207,7187
9381,2406
9625,35155
9304,1524
20856,79656
5955,2228
9899,60129
9826,18254
21355,879
10858,1152
11439,3556
9457,7775
12412,5281
1494,607
13184,21905
13184,31033
2185,5174
6639,10723
38153,16566
58233,56710
116977,43518
68734,880
5503,12989
27573,17167
819,8246
1369,16566
9623,18069
10895,11426
10895,11429
10935,12114
834,3950
228066,2291
711,5216
10468,31024
10027,18865
11812,11873
37233,2226
37950,58552
27582,12786
64688,107446
64688,155267
509,7017
7443,7314
7443,53304
5966,17871
11066,68215
136795,116805
8095,10601
87826,57370
11560,21712
25189,10400
2637,11676
18480,6767
709,10179
49730,19850
2749,27846
9607,58164
9607,58165
1830,8685
79,607
54054,114597
228967,19274
228967,54734
46528,141169
27936,2419
65,323
280391,2408
9476,4723
10610,64901
745,11614
49527,72344
73937,5065
1885,16513
168672,17883
18240,29214
10398,5696
165,24
240832,59
216015,1137903
12279,2294
1645,5572
11007,17825
193756,36602
11287,14911
259693,2127
37799,7467
10184,29009
4257,12987
4234,5140
196,24
257091,52803
6114,1776
24803,9248
109410,4723
1213,2239
100042,7395
100042,7396
9036,664
257211,17698
323675,20400
9361,638
1677,18596
187,2294
187,2293
7461,43141
16538,17871
9889,7395
9889,7396
820,1152
11565,61175
6073,1704
16996,58552
193610,11151
19912,4755
296098,488
8007,12028
32823,52934
4380,36804
11551,4600
10336,87130
11362,8300
50348,144221
48138,59521
1124,525
227159,74619
68179,1098477
1579,2461
708,10179
34851,41671
9930,8858
1586,508
2044,21031
9913,1978
71864,3290
10761,66548
209451,190
11975,1776
4970,2406
11831,488
9096,1090
440,6037
440,6038
11011,18281
10641,6720
11172,18323
39513,54733
82687,29214
41446,5140
8224,5572
10537,1152
225886,51851
10385,3092
55779,93214
10154,64030
10647,51984
11431,7395
11431,7396
8457,32593
188161,52139
8850,52968
64685,468
38357,7017
10060,53334
11398,25735
1833,10965
10391,26713
8970,54967
9306,13776
9306,42175
11370,37710
12184,71570
1921,19969
1683,2042
203,1032
11858,14911
62835,75035
18937,50582
13536,30365
15556,11472
10718,66823
11062,23213
10802,10491
1887,1769
6071,23393
10461,56435
80278,51894
12704,58251
10315,5655
16643,18356
2687,11770
194,2419
11025,66960
8849,56106
78698,29009
30943,140354
9544,57898
24418,3289
7288,518
14655,72024
24575,52094
10366,18889
19898,54559
4965,5501
15074,25735
56715,64909
1272,2034
72358,53177
20542,86295
20542,86296
266396,35453
9978,61357
8271,40256
10428,1978
5353,44740
11934,1223
14392,56739
14392,76812
19495,71871
19495,84736
110415,21684
77459,65629
26486,2689
9495,21085
256040,147021
24420,57270
1257,7145
62214,510
16320,12891
8842,17764
9531,10586
64807,13426
12289,11401
11529,17167
20943,36797
9099,21217
9488,2294
193,2380
44865,12453
55787,10943
257932,1496406
10400,13563
1957,10781
10833,58178
256961,58375
5852,46085
12312,58072
622,3556
11306,10781
12508,18356
25793,20019
10534,578
1091,11770
87421,28239
10871,7671
13503,58712
13600,57193
68722,4762
14324,33317
14325,5501
299687,111588
312221,1056121
23168,880
76494,64045
4944,1223
4944,1224
10488,66218
10488,66219
96721,6159
334,4762
23742,19303
259694,63820
62837,1270
8966,19850
8470,11151
11001,56911
138832,57633
16911,80999
2163,7213
36670,10930
23048,3227
227735,1270
2155,13776
8409,37932
222936,11649
31908,3026
10219,33433
48171,29605
782,8685
75531,41550
11802,71267
9776,2632
18785,57130
365222,63571
817,6737
268,510
45054,8965
943,7187
22881,54040
10054,2294
51540,71600
44264,1223
44264,1224
350,5065
152,1744
109431,71600
1598,1032
8065,36797
271718,41039
11638,70777
409,2239
2118,323
11459,64151
10806,7908
9348,21370
377,5140
8843,56512
9313,2460
39486,2460
1273,19499
13920,53178
50544,82511
325133,52934
140823,54040
1883,5281
89492,41039
22949,68573
12437,3964
2959,29009
9957,17494
11648,70738
9366,10723
1576,4014
609,10051
5516,1223
5516,1224
13051,12028
49530,8685
34806,113225
49022,65734
11469,40243
23479,12964
11667,1726
423,3556
2447,19850
10066,59521
2288,5342
88794,190
13515,59291
11979,28741
169,2042
8090,17812
11622,28904
3604,17281
9541,19303
94348,18878
8197,190
336004,90812
35019,113600
10410,518
8836,12524
14442,62514
321741,1192754
59965,6482
14175,80691
11004,323
11918,35796
98357,11448
10012,5140
49526,508
268920,29214
9093,37630
119283,18596
11823,33315
35169,11873
118957,64163
849,12804
4515,4135
18886,8328
6575,51851
6440,5306
13496,56911
18320,69371
22787,58498
8967,30715
37498,26760
144336,19769
9616,4723
13056,56359
14113,18357
285783,24
49478,17268
9726,578
20763,7187
9702,18596
9311,19684
9280,1150
26843,66203
11876,25950
22267,1614
45958,223
1969,20307
1969,20308
310706,814
198663,1179066
239573,1375201
10436,1032
1381,6431
2162,22100
127493,12786
12429,608
228205,66121
2900,29524
21311,58220
77875,20646
192136,71570
18254,6449
881,3026
10877,10765
9600,1215
202575,76100
202575,1324172
71469,10855
85446,932088
326,4755
10685,66604
7220,876
9763,33279
72387,52358
12596,10723
1892,19800
13460,57581
8055,468
50647,22214
10719,15277
9294,12962
11888,13581
9647,7187
9353,53925
55721,116805
109414,19274
109414,54734
10307,11809
11978,66121
22907,97026
87567,52599
38322,61175
45612,81850
7305,664
3594,5572
157841,2419
11519,488
12920,53176
59,224
9335,18865
12106,7623
11141,7791
8649,1032
31867,114404
10253,64331
3587,13563
124459,93419
24662,61411
32274,504
182,1884
5494,43673
28,1776
38073,96439
2054,18356
302156,81476
606,2226
87502,24
698,10076
120467,5655
11313,33433
6488,664
10559,17812
296099,52935
296099,1236679
8012,5174
1574,17633
9032,17494
2770,7409
862,7879
1637,2209
72570,566328
27569,56717
10637,52358
1669,1090
132363,20019
9472,57633
2907,5174
9273,4489
9880,1201
2925,28904
807,7467
17654,82194
11836,70651
322,190
70,190
9535,1524
11036,11151
6557,29214
18126,36804
16340,80540
10333,10400
4476,9181
22947,52443
2755,13235
82654,56661
59967,67367
16300,3288
16300,3289
9598,58137
82696,5065
9870,52934
8292,6482
8780,14172
9715,2178
10521,17046
10762,32593
10096,17046
59436,1243
227783,1262197
4133,34849
10207,46085
172,1748
21972,79656
36593,13426
707,10179
533,7314
533,7313
6023,2163
6439,50582
4347,36588
37056,17046
4105,578
76489,7395
76489,7396
3933,510
3933,34891
9918,60496
273481,137427
307081,20907
16871,7623
293863,109745
13156,77919
41233,54507
9266,57082
1262,12995
4513,27571
22970,47506
7278,35694
7278,35734
9013,769
865,12988
10776,7908
50456,36588
9823,26714
59861,31
133805,2836
12763,60024
9766,18500
14034,54967
12244,71923
109421,1884
11137,63713
51162,227438
51162,227439
10152,58868
9452,6449
239566,55789
53113,21712
9271,57090
4474,8858
184346,55499
48340,59126
14846,42274
72207,52934
16232,80215
43539,455
9920,13927
8978,58324
11702,20907
18550,40230
8869,56150
43347,9181
3489,18250
9701,15287
2122,26502
37707,5877
10658,686
13150,77003
